id,file,captureLocal,durationSeconds,mebibytes,displayWidth,displayHeight,width,height,rotation,fps,videoCodec,pixelFormat,colorSpace,audioCodec,camera,lens,shootBlock,reviewStatus,rating,contentType,keepReason,notes
C2260,C2260.MP4,2026-07-18T09:22:13-06:00,4.004,64.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2261,C2261.MP4,2026-07-18T09:22:29-06:00,5.506,64.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2262,C2262.MP4,2026-07-18T09:23:15-06:00,12.012,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2263,C2263.MP4,2026-07-18T09:23:49-06:00,13.514,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2265,C2265.MP4,2026-07-18T09:33:56-06:00,8.008,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2266,C2266.MP4,2026-07-18T09:34:15-06:00,9.51,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2268,C2268.MP4,2026-07-18T09:35:09-06:00,8.008,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2269,C2269.MP4,2026-07-18T09:35:27-06:00,9.009,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2270,C2270.MP4,2026-07-18T09:35:51-06:00,10.511,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2271,C2271.MP4,2026-07-18T09:36:21-06:00,8.509,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2273,C2273.MP4,2026-07-18T09:36:56-06:00,16.016,192.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2274,C2274.MP4,2026-07-18T09:37:27-06:00,7.007,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2276,C2276.MP4,2026-07-18T09:38:05-06:00,10.511,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2277,C2277.MP4,2026-07-18T09:38:27-06:00,10.01,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2278,C2278.MP4,2026-07-18T09:39:43-06:00,9.51,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2279,C2279.MP4,2026-07-18T09:40:13-06:00,12.513,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2280,C2280.MP4,2026-07-18T09:40:57-06:00,15.015,192.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2282,C2282.MP4,2026-07-18T09:41:54-06:00,8.509,128.1,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2283,C2283.MP4,2026-07-18T09:42:18-06:00,11.011,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2284,C2284.MP4,2026-07-18T09:42:41-06:00,11.011,128.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,1,unreviewed,,,,
C2285,C2285.MP4,2026-07-18T10:02:52-06:00,14.515,192.2,1080,1920,1920,1080,90,119.88,h264,yuv420p,bt709,pcm_s16be,ILCE-7M5,FE 85mm F1.4 GM II,2,unreviewed,,,,
