clip_id,file,event,event_date,team_a,team_b,players,participant_handles,court,round,play_type,outcome,score,clip_in,moment_time,clip_out,footage_tone,ball_visibility,footage_credit,editor_credit,rights_status,copy_status,caption_action,asset_cue,notes
jpo-c2260,C2260.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:22:13 AM · 0:04 source · review pending
jpo-c2261,C2261.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:22:29 AM · 0:05 source · review pending
jpo-c2262,C2262.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:23:15 AM · 0:12 source · review pending
jpo-c2263,C2263.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:23:49 AM · 0:13 source · review pending
jpo-c2265,C2265.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:33:56 AM · 0:08 source · review pending
jpo-c2266,C2266.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:34:15 AM · 0:09 source · review pending
jpo-c2268,C2268.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:35:09 AM · 0:08 source · review pending
jpo-c2269,C2269.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:35:27 AM · 0:09 source · review pending
jpo-c2270,C2270.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:35:51 AM · 0:10 source · review pending
jpo-c2271,C2271.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:36:21 AM · 0:08 source · review pending
jpo-c2273,C2273.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:36:56 AM · 0:16 source · review pending
jpo-c2274,C2274.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:37:27 AM · 0:07 source · review pending
jpo-c2276,C2276.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:38:05 AM · 0:10 source · review pending
jpo-c2277,C2277.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:38:27 AM · 0:10 source · review pending
jpo-c2278,C2278.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:39:43 AM · 0:09 source · review pending
jpo-c2279,C2279.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:40:13 AM · 0:12 source · review pending
jpo-c2280,C2280.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:40:57 AM · 0:15 source · review pending
jpo-c2282,C2282.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:41:54 AM · 0:08 source · review pending
jpo-c2283,C2283.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:42:18 AM · 0:11 source · review pending
jpo-c2284,C2284.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 9:42:41 AM · 0:11 source · review pending
jpo-c2285,C2285.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:02:52 AM · 0:14 source · review pending
jpo-c2287,C2287.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:04:32 AM · 0:08 source · review pending
jpo-c2289,C2289.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:05:20 AM · 0:15 source · review pending
jpo-c2290,C2290.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:05:47 AM · 0:09 source · review pending
jpo-c2291,C2291.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:06:14 AM · 0:09 source · review pending
jpo-c2292,C2292.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:06:37 AM · 0:04 source · review pending
jpo-c2293,C2293.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:06:48 AM · 0:21 source · review pending
jpo-c2295,C2295.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:07:48 AM · 0:13 source · review pending
jpo-c2298,C2298.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:20:13 AM · 0:11 source · review pending
jpo-c2299,C2299.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:20:45 AM · 0:09 source · review pending
jpo-c2300,C2300.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:21:07 AM · 0:06 source · review pending
jpo-c2302,C2302.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:22:57 AM · 0:10 source · review pending
jpo-c2303,C2303.MP4,Jalapeño Open,2026-07-18,,,,,,,,,,,,,,,Flickday Media,,unknown,draft,none,,Captured 10:23:20 AM · 0:10 source · review pending
